,price
1037,2490.0
1038,2050.0
1039,2050.0
1040,2050.0
1041,1550.0
1042,2000.0
1043,1850.0
1045,3250.0
1046,3000.0
1047,1700.0
1048,2350.0
1049,2500.0
1050,3450.0
1051,1575.0
1052,2300.0
1053,2600.0
1054,1475.0
1055,2544.0
1056,2590.0
1057,2500.0
1058,3095.0
1059,1905.0
1060,3700.0
1061,2400.0
1062,2400.0
1063,1600.0
1064,2095.0
1065,2795.0
1066,2400.0
1067,2350.0
1068,1650.0
1069,1615.0
1070,3200.0
1071,4149.0
1072,1650.0
1073,2595.0
1074,2395.0
1075,4500.0
1076,1850.0
1077,3185.0
1078,3950.0
1079,3900.0
1080,2800.0
1081,3000.0
1082,1299.0
1083,2995.0
1084,2489.0
1085,2824.0
1086,1500.0
1087,2399.0
1088,1900.0
1089,8995.0
1090,1900.0
1091,3800.0
1092,2950.0
1093,2100.0
1094,2965.0
1095,2025.0
1096,5385.0
1097,2650.0
1098,2575.0
1099,2675.0
1100,2500.0
1101,2282.0
1102,2999.0
1103,3010.0
1104,1695.0
1105,1900.0
1106,1895.0
1107,3650.0
1108,3495.0
1109,2700.0
1110,1795.0
1111,1800.0
1112,2200.0
1113,2300.0
1114,3700.0
1115,4000.0
1116,2750.0
1117,2100.0
1118,2475.0
1119,1488.0
1120,3750.0
1121,2395.0
1122,2750.0
1123,2765.0
1124,4500.0
1125,4500.0
1126,3495.0
1127,2975.0
1128,1995.0
1129,2900.0
1130,2000.0
1131,2110.0
1132,2100.0
1133,2900.0
1134,1675.0
1135,1805.0
1136,1805.0
1137,1550.0
1138,1400.0
1139,1705.0
1140,1805.0
1141,1925.0
1142,2543.0
1143,1900.0
1144,2343.0
1145,1898.0
1146,1900.0
1147,2800.0
1148,2380.0
1149,1899.0
1150,4875.0
1151,2500.0
1152,1600.0
1153,2600.0
1154,2800.0
1155,7500.0
1156,1595.0
1157,3590.0
1158,2690.0
1159,3700.0
1160,2395.0
1161,1600.0
1162,2295.0
1163,2000.0
1164,2400.0
1165,2400.0
1166,4200.0
1167,1750.0
1168,3495.0
1169,2600.0
1170,2699.0
1171,4100.0
1172,2695.0
1173,4000.0
1174,3400.0
1175,3250.0
1176,3195.0
1177,3525.0
1178,1900.0
1179,1750.0
1180,2300.0
1181,5500.0
1182,1500.0
1183,1800.0
1184,3195.0
1185,2295.0
1186,1600.0
1187,2595.0
1188,2650.0
1189,2750.0
1190,3800.0
1191,3495.0
1192,2600.0
1193,2070.0
1194,3795.0
1195,1650.0
1196,1800.0
1197,2400.0
1198,3200.0
1199,1450.0
1200,2625.0
1201,3000.0
1202,4100.0
1203,2690.0
1204,2856.0
1205,2995.0
1206,3200.0
1207,2995.0
1208,2675.0
1209,2750.0
1210,2975.0
1211,2350.0
1212,3295.0
1213,2356.0
1214,4500.0
1215,2000.0
1216,2290.0
1217,3208.0
1218,1895.0
1219,2095.0
1220,3700.0
1221,2489.0
1222,5300.0
1223,1350.0
1224,2800.0
1225,2600.0
1226,5500.0
1227,2200.0
1228,3361.0
1229,3170.0
1230,4085.0
1231,2600.0
1232,2800.0
1233,3000.0
1234,2575.0
1235,3600.0
1236,3600.0
1237,1450.0
1238,2650.0
1239,3595.0
1240,2500.0
1241,3800.0
1242,2800.0
1243,5650.0
1244,3220.0
1245,3465.0
1246,3610.0
1247,2725.0
1248,1800.0
1249,1750.0
1250,3300.0
1251,2950.0
1252,2200.0
1253,2250.0
1254,2495.0
1255,3400.0
1256,2500.0
1257,1950.0
1258,2000.0
1259,1950.0
1260,6495.0
1261,3400.0
1262,2199.0
1263,2700.0
1264,1800.0
1265,2200.0
1266,2950.0
1267,2450.0
1268,2150.0
1269,3950.0
1270,3700.0
1271,2795.0
1272,3750.0
1273,1850.0
